d=0 t=   0 #     0,     1,     2,     3,     4,     5,     6,     7,     8,     9,    10,    11,    13,    14,    12,    15,    16,    17,    28,    27,    26,    25,    24,    23,    21,    20,    19,    18,    22,    29,    30,    31,    35,    36,    34,    33,    32,    37,    38,    39,    40,    41,    42,    43,    44,    45,    46
d=0 t=   0 #   850,   830,   440,   290,   290,   280,   270,   260,   260,   260,   260,   260,   250,   250,   250,   240,   240,   240,   230,   230,   230,   230,   230,   230,   230,   230,   230,   230,   230,   220,   220,   220,   210,   210,   210,   210,   210,   200,   200,   200,   200,   200,   200,   190,   190,   180,   160
d=1 t=   5 #     0,     2,     3,     4,     6,    10,     9,     8,     7,    43,    13,    14,    15,    16,    17,    27,    18,    19,    20,    23,    24,    26,    25,    28,    44,     5,    29,    31,    32,    35,    34,    38,    37,    40,    41,    12,    36,    45,    46,     1,    33,    30,    21,    39,    42,    11,    22
d=1 t=   5 #   250,  -120,  -310,  -310,  -330,  -340,  -340,  -340,  -340,  -350,  -350,  -350,  -360,  -360,  -360,  -370,  -370,  -370,  -370,  -370,  -370,  -370,  -370,  -370,  -380,  -380,  -380,  -380,  -390,  -390,  -390,  -400,  -400,  -400,  -400,  -400,  -410,  -420,  -440, -1050, -1520, -1600, -1600, -1610, -1610, -1610, -1630
d=2 t=  16 #     0,     2,     3,     4,     6,    10,     9,     8,     7,     5,    13,    43,    15,    16,    17,    12,    38,    28,    25,    26,    23,    20,    19,    18,    27,    14,    24,    44,    29,    31,    32,    35,    34,    40,    41,    37,    36,    45,    46,     1,    33,    11,    30,    21,    39,    42,    22
d=2 t=  16 #   850,   500,   310,   310,   290,   280,   280,   280,   280,   280,   270,   270,   260,   260,   260,   250,   250,   250,   250,   250,   250,   250,   250,   250,   250,   250,   250,   240,   240,   240,   230,   230,   230,   220,   220,   220,   210,   200,   180,  -430,  -900,  -930,  -980,  -980,  -990,  -990, -1010
d=3 t= 252 #     2,     0,     4,    10,     7,    43,    13,     8,     9,    15,    16,    17,    26,    19,    24,    20,    25,    28,     6,     5,    44,    29,    31,    34,    35,    32,    38,    37,    41,    40,     3,    12,    45,    46,    27,    36,    23,    14,    18,     1,    11,    42,    33,    30,    21,    39,    22
d=3 t= 252 #   260,   110,    60,    30,    20,    20,    20,    20,    20,    10,    10,    10,     0,     0,     0,     0,     0,     0,     0,   -10,   -10,   -10,   -10,   -20,   -20,   -20,   -30,   -30,   -30,   -30,   -30,   -40,   -50,   -70,  -320,  -390,  -450,  -490,  -670, -1030, -1290, -1400, -1540, -1580, -1580, -1590, -1610
d=4 t= 709 #     2,     5,     0,     6,     4,    29,    28,    44,    15,    10,    17,     7,     9,     8,    13,    43,    16,    26,    24,    23,    25,    34,    32,     1,    35,    38,    37,    41,    40,     3,    11,    12,    45,    42,    27,    31,    19,    36,    20,    18,    46,    14,    33,    21,    39,    22,    30
d=4 t= 709 #   930,   830,   750,   720,   660,   650,   650,   630,   630,   630,   630,   620,   620,   620,   620,   620,   610,   600,   600,   600,   600,   580,   580,   580,   580,   570,   570,   570,   570,   570,   570,   560,   550,   460,   300,   270,   270,   210,   210,   190,   140,   110,    30,   -80,   -90,  -110, -1250
