d=0 t=   0 #     1,     0,     2,     3,     4,     5,     6,     7,     8,     9,    11,    12,    10,    13,    14,    15,    16,    17,    18,    19,    20,    21
d=0 t=   0 #   110,   110,   100,   100,   100,   100,    80,    80,    70,    70,    60,    60,    60,    50,    50,    40,    40,    40,    40,    40,    40,    10
d=1 t=   1 #     0,     1,     2,     4,     5,     6,     7,     8,     9,    12,    10,    11,    13,    14,    16,    18,    19,    20,    21,     3,    17,    15
d=1 t=   1 #    40,    40,    30,    30,    30,    10,    10,     0,     0,   -10,   -10,   -10,   -20,   -20,   -30,   -30,   -30,   -30,   -60,  -520,  -520,  -980
d=2 t=   5 #     1,     0,     2,     4,     5,     6,     7,     8,     9,    14,    13,    11,    10,    12,    16,    18,    19,    20,    21,    17,     3,    15
d=2 t=   5 #   290,   140,   100,   100,   100,   100,   100,    70,    70,    70,    70,    60,    60,    60,    40,    40,    40,    40,    10,  -230,  -240,  -690
d=3 t=  43 #     0,     1,    20,     8,    14,    19,     4,     6,     7,     5,     9,    13,    11,    12,    10,     2,    16,    18,    21,    17,     3,    15
d=3 t=  43 #     0,     0,   -60,   -60,   -60,   -60,  -110,  -110,  -130,  -140,  -140,  -140,  -150,  -150,  -150,  -150,  -170,  -170,  -200,  -300,  -310,  -760
d=4 t= 331 #     1,     5,    18,    16,     2,     4,     6,     7,    10,    13,     9,    19,    20,    11,    12,     0,    21,    14,     8,     3,    17,    15
d=4 t= 331 #   320,   310,   290,   290,   290,   290,   290,   290,   270,   260,   260,   260,   260,   250,   250,   230,   160,   150,   150,   -70,  -210,  -690
d=5 t=2666 #    10,    21,     0,    12,    11,     1,     9,    13,     7,     6,     4,     2,    16,    18,     5,    19,     8,    14,    20,    17,     3,    15
d=5 t=2666 #  -170,  -170,  -170,  -170,  -170,  -170,  -170,  -170,  -170,  -170,  -170,  -170,  -170,  -170,  -170,  -180,  -180,  -180,  -190,  -280,  -380,  -840
########################################################################################################################################################################################################
d=0 t=   0 #     1,     0,     2,     3,     4,     5,     6,     7,     8,     9,    11,    12,    10,    13,    14,    15,    16,    17,    18,    19,    20,    21
d=0 t=   0 #   110,   110,   100,   100,   100,   100,    80,    80,    70,    70,    60,    60,    60,    50,    50,    40,    40,    40,    40,    40,    40,    10
d=1 t=   1 #     0,     1,     2,     4,     5,     6,     7,     8,     9,    12,    10,    11,    13,    14,    16,    18,    19,    20,    21,     3,    17,    15
d=1 t=   1 #    40,    40,    30,    30,    30,    10,    10,     0,     0,   -10,   -10,   -10,   -20,   -20,   -30,   -30,   -30,   -30,   -60,  -520,  -520,  -980
d=2 t=   5 #     1,     0,     2,     4,     5,     6,     7,     8,     9,    14,    13,    11,    10,    12,    16,    18,    19,    20,    21,    17,     3,    15
d=2 t=   5 #   290,   140,   100,   100,   100,   100,   100,    70,    70,    70,    70,    60,    60,    60,    40,    40,    40,    40,    10,  -230,  -240,  -690
d=3 t=  47 #     0,     1,    20,     8,    14,    19,     4,     6,     7,     5,     9,    13,    11,    12,    10,     2,    16,    18,    21,    17,     3,    15
d=3 t=  47 #     0,     0,   -60,   -60,   -60,   -60,  -110,  -110,  -130,  -140,  -140,  -140,  -150,  -150,  -150,  -150,  -170,  -170,  -200,  -300,  -310,  -760
d=4 t= 317 #     1,     5,    18,    16,     2,     4,     6,     7,    10,    13,     9,    19,    20,    11,    12,     0,    21,    14,     8,     3,    17,    15
d=4 t= 317 #   320,   310,   290,   290,   290,   290,   290,   290,   270,   260,   260,   260,   260,   250,   250,   230,   160,   150,   150,   -70,  -210,  -690
d=5 t=2644 #    10,    21,     0,    12,    11,     1,     9,    13,     7,     6,     4,     2,    16,    18,     5,    19,     8,    14,    20,    17,     3,    15
d=5 t=2644 #  -170,  -170,  -170,  -170,  -170,  -170,  -170,  -170,  -170,  -170,  -170,  -170,  -170,  -170,  -170,  -180,  -180,  -180,  -190,  -280,  -380,  -840
########################################################################################################################################################################################################
